Marca temporal,Fecha,Tienda,Departamento,Sector sucursal,Estacionamiento [Había guardia de seguridad en el área de estacionamiento.],Estacionamiento [El guardia de seguridad del estacionamiento se encontraba prestando atención al entorno.],Estacionamiento [Todos los espacios de estacionamiento estaban disponibles para los clientes.],Bienvenida [Habían suficientes elementos disponibles en el área de bienvenida.],Bienvenida [Los elementos del área de bienvenida estaban limpios y sin residuos de basura o comida.],Bienvenida [El personal del área de bienvenida se mostró amable y dio la bienvenida.],Bienvenida [El personal del área de bienvenida dio la bienvenida y ofreció atención.],Bienvenida [Los elementos del área de bienvenida se desplazaban correctamente.],"Pasillo central [El pasillo central estaba limpio (sin basura, sin restos de producto o cosas ajenas al área).]",Pasillo central [Alguna exhibición del pasillo central estaba vacía o sin producto.],Sector 1 [Había mal olor en el Sector 1.],"Sector 1 [En el área de mostrador del Sector 1, cuando se llamó al personal atendió rápidamente.]",Sector 1 [El personal del Sector 1 fue amable.],Sector 1 [El personal del Sector 1 mostró conocimiento cuando se le preguntó algo relacionado al Sector 1.],"Sector 1 [El Sector 1 estaba limpio (sin basura, sin restos de producto o cosas ajenas al área).]","Sector 2 [El Sector 2 estaba limpio (sin basura, sin restos de producto o cosas ajenas al área).]",Sector 2 [El personal del Sector 2 fue amable.],Sector 2 [El personal del Sector 2 mostró conocimiento cuando se le preguntó algo relacionado a su área.],Sector 3 [La exhibición del Sector 3 está completa (no hay canastas o bandejas vacías).],"Sector 3 [El Sector 3 estaba limpio (sin basura, sin restos de producto o cosas ajenas al área).]","Pasillo secundario [El pasillo secundario está limpio (sin basura, sin restos de producto o cosas ajenas al área).]","Pasillo secundario [Hay cajas o algún otro objeto que obstaculiza el paso en el pasillo secundario, sin que haya alguien trabajando con ello.]","Pasillo secundario [Al preguntar al personal del pasillo secundario donde ubicar un producto, ¿lo guiaron hacia el producto?]",Cobro [Encontró un punto de cobro disponible rápidamente.],Cobro [El personal de cobro saludó cordialmente.],Cobro [El personal de cobro fue amable durante toda la transacción.],Cobro [El personal de cobro ofreció productos en el área de cobro.],Cobro [El personal de cobro dejó de ofrecer productos adicionales cuando se le indicó que no estaba interesado.],Cobro [El personal de cobro reaccionó amablemente cuando se le pidió retirar algún producto de la transacción.],Cobro [El personal de cobro agradeció mi compra y se despidió.],Empaque [Las opciones de empaque son suficientes para diferentes ocasiones.],Empaque [El personal de empaque fue amable y ágil para realizar mi empaque.],Sanitarios [El sanitario estaba disponible para los clientes en todo momento (sin llave).],"Sanitarios [Había suficientes suministros en el sanitario (agua, jabón y papel).]","Sanitarios [Funcionan correctamente el inodoro, lavamanos y secador de manos en los sanitarios.]",Sanitarios [Estaba llena y actualizada la hoja de limpieza de los sanitarios.],Sanitarios [El sanitario olía bien.],"Experiencia [El ambiente (iluminación, diseño, música y aroma) es agradable y acorde a la experiencia.]","Experiencia [En general, el personal es agradable, atento y servicial.]",Experiencia [La misión de mi visita se cumplió y fue gracias a la buena asesoría y atención del personal.],Comentarios,Hallazgo grave
2025-01-03 14:00:00,03/01/2025,Sucursal Centro,Guatemala,Distrito Metro,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,"Excelente visita. Tienda impecable, personal sonriente y proactivo. 10/10.",
2025-01-04 10:00:00,04/01/2025,Sucursal Norte,Guatemala,Distrito Metro,NO,NO,SÍ,SÍ,NO,SÍ,SÍ,NO,NO,SÍ,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,NO,NO,NO,SÍ,NO,NO,NO,NO,NO,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,
2025-01-04 08:00:00,04/01/2025,Sucursal Sur,Guatemala,Distrito Metro,SÍ,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,NO,NO,NO,NO,SÍ,NO,SÍ,NO,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
2025-01-26 10:00:00,26/01/2025,Sucursal Las Palmas,Guatemala,Distrito Metro,SÍ,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,"Excelente visita. Tienda impecable, personal sonriente y proactivo. 10/10.",
2025-01-13 11:00:00,13/01/2025,Sucursal Pradera,Guatemala,Distrito Metro,NO,NO,SÍ,SÍ,NO,NO,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,NO,NO,NO,NO,NO,NO,SÍ,NO,SÍ,NO,NO,NO,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,NO,NO,SÍ,SÍ,NO,NO,NO,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,🚨 GRAVE: Empleados discutiendo en el área de Cobro y suciedad extrema.
2025-01-10 13:00:00,10/01/2025,Sucursal Majadas,Guatemala,Distrito Metro,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,SÍ,NO,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,NO,NO,NO,NO,NO,NO,NO,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,NO,NO,NO,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
2025-01-12 16:00:00,12/01/2025,Sucursal Vista Hermosa,Guatemala,Distrito Metro,NO,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,NO,NO,SÍ,NO,NO,NO,SÍ,NO,NO,NO,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,NO,SÍ,SÍ,NO,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
2025-01-12 13:00:00,12/01/2025,Sucursal Cayalá,Guatemala,Distrito Metro,NO,NO,NO,NO,NO,NO,NO,NO,NO,SÍ,SÍ,NO,NO,NO,NO,NO,NO,NO,SÍ,NO,NO,NO,NO,NO,NO,NO,SÍ,SÍ,NO,NO,NO,NO,NO,NO,NO,NO,SÍ,NO,SÍ,NO,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,🚨 GRAVE: Empleados discutiendo en el área de Sector 1 y suciedad extrema.
2025-01-18 12:00:00,18/01/2025,Sucursal Américas,Guatemala,Distrito Metro,NO,NO,NO,SÍ,SÍ,NO,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,NO,SÍ,NO,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,NO,NO,NO,NO,SÍ,NO,NO,NO,SÍ,SÍ,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,🚨 GRAVE: Empleados discutiendo en el área de Sanitarios y suciedad extrema.
2025-01-13 11:00:00,13/01/2025,Sucursal Roosevelt,Guatemala,Distrito Metro,SÍ,NO,NO,NO,SÍ,NO,NO,NO,NO,SÍ,SÍ,NO,NO,NO,SÍ,NO,NO,NO,NO,SÍ,SÍ,SÍ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SÍ,NO,NO,SÍ,NO,NO,NO,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,🚨 GRAVE: Empleados discutiendo en el área de Sanitarios y suciedad extrema.
2025-01-11 10:00:00,11/01/2025,Sucursal Portales,Guatemala,Distrito Metro,NO,NO,NO,NO,NO,SÍ,NO,NO,NO,SÍ,SÍ,NO,NO,NO,NO,NO,SÍ,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,NO,NO,NO,SÍ,NO,SÍ,NO,SÍ,NO,NO,NO,NO,NO,NO,NO,NO,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,🚨 GRAVE: Empleados discutiendo en el área de Sanitarios y suciedad extrema.
2025-01-07 10:00:00,07/01/2025,Sucursal Naranjo,Guatemala,Distrito Metro,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,NO,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,Visita regular. Hay oportunidad de mejora en la agilidad de cobro y limpieza de pasillos.,
2025-01-19 15:00:00,19/01/2025,Sucursal San Cristóbal,Guatemala,Distrito Metro,NO,NO,NO,NO,NO,SÍ,NO,NO,NO,SÍ,SÍ,NO,NO,NO,SÍ,NO,NO,SÍ,SÍ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SÍ,NO,SÍ,SÍ,SÍ,SÍ,NO,NO,NO,SÍ,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,
2025-01-18 12:00:00,18/01/2025,Sucursal Muxbal,Guatemala,Distrito Metro,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,"Excelente visita. Tienda impecable, personal sonriente y proactivo. 10/10.",
2025-01-01 12:00:00,01/01/2025,Sucursal Carretera,Guatemala,Distrito Metro,NO,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,NO,NO,SÍ,NO,SÍ,SÍ,NO,NO,NO,SÍ,NO,NO,NO,NO,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,NO,SÍ,NO,SÍ,SÍ,SÍ,NO,SÍ,NO,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
2025-01-20 16:00:00,20/01/2025,Sucursal Zonal,Guatemala,Distrito Metro,NO,NO,NO,NO,NO,NO,SÍ,NO,NO,SÍ,SÍ,SÍ,NO,NO,NO,NO,NO,NO,SÍ,NO,NO,SÍ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,
2025-01-08 14:00:00,08/01/2025,Sucursal Express,Guatemala,Distrito Metro,NO,NO,NO,NO,NO,SÍ,NO,NO,NO,NO,SÍ,NO,NO,SÍ,SÍ,NO,NO,NO,NO,NO,NO,SÍ,NO,NO,NO,NO,NO,NO,SÍ,SÍ,NO,SÍ,NO,NO,NO,NO,NO,NO,NO,NO,La sucursal está en condiciones críticas. La atención en cajas fue pésima y los clientes se quejaban abiertamente.,🚨 GRAVE: Empleados discutiendo en el área de Cobro y suciedad extrema.
2025-01-09 09:00:00,09/01/2025,Sucursal San Miguel,Guatemala,Distrito Metro,NO,SÍ,NO,NO,NO,NO,SÍ,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,NO,SÍ,NO,NO,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,NO,NO,SÍ,SÍ,NO,NO,SÍ,SÍ,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
2025-01-02 14:00:00,02/01/2025,Sucursal Villa Nueva,Guatemala,Distrito Metro,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,NO,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,"Excelente visita. Tienda impecable, personal sonriente y proactivo. 10/10.",
2025-01-13 17:00:00,13/01/2025,Sucursal Petapa,Guatemala,Distrito Metro,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,NO,NO,SÍ,NO,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,SÍ,SÍ,NO,SÍ,SÍ,NO,SÍ,SÍ,SÍ,NO,SÍ,NO,SÍ,NO,NO,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
2025-01-20 08:00:00,20/01/2025,Sucursal Mixco,Guatemala,Distrito Metro,SÍ,NO,NO,NO,NO,NO,SÍ,SÍ,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,SÍ,SÍ,NO,NO,NO,SÍ,SÍ,NO,SÍ,SÍ,NO,NO,NO,NO,SÍ,NO,SÍ,NO,NO,NO,NO,SÍ,SÍ,SÍ,SÍ,Se notaron múltiples descuidos. El personal estaba distraído usando el celular y las carretas estaban sucias.,
